author,title,date_publication,nb_tokens,src
LeCoeur,RetourDesAutresMondes,1936,928,https://gallica.bnf.fr/ark:/12148/bpt6k795058q/f4.item
LeDrimeur,LaCiteFuture,1890,110737,https://gallica.bnf.fr/ark:/12148/bpt6k69043n
LeFaure,DansLaPeauDUnSinge,1925,73291,http://www.bouquineux.com/index.php?telecharger=2220&Le_Faure-Dans_la_peau_d_un_singe
LeFaure,LaLune,1889,120301,https://frama.link/GutenbergAventuresEx
LeFaure,LeDesertSideral,1896,105658,http://www.gutenberg.org/ebooks/24924
LeFaure,LeSoleilEtLesPetitesPlanetes,1889,123682,https://www.ebooksgratuits.com/html/le_faure_aventures_extraordinaires_savant_russe_2
LeFaure,LesPlanetesGeantesEtLesCometes,1891,88777,https://lc.cx/WXdS
Leo,LaCommuneDeMalenpisConte,1874,22551,https://gallica.bnf.fr/ark:/12148/bpt6k5452687z
Lermina,ABrulerHistoiresIncroyables,1888,23754,https://gallica.bnf.fr/ark:/12148/bpt6k61724c
Lermina,CourseVol,1888,2461,https://gallica.bnf.fr/ark:/12148/bpt6k91275h/f254.image
Lermina,LaBatailleDeStrasbourg,1895,41224,https://gallica.bnf.fr/ark:/12148/bpt6k64067f
Lermina,LaComtoise,1888,1834,https://gallica.bnf.fr/ark:/12148/bpt6k91275h/f58.image
Lermina,LaMagicienne,1892,10908,https://gallica.bnf.fr/ark:/12148/bpt6k62842t
Lermina,LaVieHumaine,1890,21838,https://gallica.bnf.fr/ark:/12148/bpt6k62842t
Lermina,LElixirDeVieConteMagique,1890,13254,https://gallica.bnf.fr/ark:/12148/bpt6k61649f
Lermina,LeSecretDesZippelius,1892,26602,https://gallica.bnf.fr/ark:/12148/bpt6k62842t
Lermina,LeToutPourLeTout,1888,26876,https://gallica.bnf.fr/ark:/12148/bpt6k91275h/f66.image
Lermina,Titane,1888,3949,https://gallica.bnf.fr/ark:/12148/bpt6k91275h/f224.image
LeRomancierMasque,LEsclaveDeFer,1935,35736,https://gallica.bnf.fr/ark:/12148/bpt6k5421156j
Leroux,LaMachineAAssassiner,1923,67283,https://beq.ebooksgratuits.com/auteurs/Leroux/Leroux-machine-xpdf.pdf
Leroux,LaPoupeeSanglante,1923,114737,https://gallica.bnf.fr/ark:/12148/bpt6k810078
Level,LaCiteDesVoleurs,1923,59520,https://gallica.bnf.fr/ark:/12148/bpt6k14131458
Level,On,1908,5720,https://gallica.bnf.fr/ark:/12148/bpt6k102983d
Lionnet,LesDerniersDecadents,1894,1166,https://gallica.bnf.fr/ark:/12148/bpt6k9742564w
LIsleAdam,LEveFuture,1886,98053,https://fr.wikisource.org/wiki/L%E2%80%99%C3%88ve_future/Texte_entier
Luirais,LesMonstresDeLAtlantide,1924,1211,https://gallica.bnf.fr/ark:/12148/bpt6k9115956c
MacOrlan,LesPlaisirsDeLaCampagne,1912,839,https://gallica.bnf.fr/ark:/12148/bpt6k5775624n
